Id,Name,ScheduleId,TotalArrivalTime,Latitude,Longitude
112,Stop 112,1,53,12.1364949,-86.2429457
113,Stop 113,1,53,12.1360678,-86.2420135
114,Stop 114,1,53,12.1360855,-86.2417766
115,Stop 115,1,53,12.1374034,-86.2378867
116,Stop 116,1,53,12.137198,-86.2361023
117,Stop 117,1,53,12.1369545,-86.2339071
118,Stop 118,1,53,12.1388206,-86.2324018
119,Stop 119,1,53,12.1383414,-86.22924
120,Stop 120,1,53,12.1382632,-86.227082
121,Stop 121,1,53,12.1383216,-86.2239683
122,Stop 122,1,53,12.1383846,-86.2218424
123,Stop 123,1,53,12.1378622,-86.2185694
124,Stop 124,1,53,12.1372355,-86.2166797
125,Stop 125,1,53,12.1412129,-86.2166246
126,Stop 126,1,53,12.1421628,-86.2186855
127,Stop 127,1,53,12.1445794,-86.2185614
128,Stop 128,1,53,12.1468493,-86.2169058
129,Stop 129,1,53,12.1496561,-86.217513
130,Stop 130,1,53,12.1493612,-86.2130197
131,Stop 131,1,53,12.1488312,-86.208537
132,Stop 132,1,53,12.1483671,-86.2026442
133,Stop 133,1,53,12.153062,-86.1991373
134,Stop 134,1,53,12.1568687,-86.1988398
135,Stop 135,2,53,12.1568805,-86.1988983
136,Stop 136,2,53,12.1544568,-86.1991556
137,Stop 137,2,53,12.1530759,-86.1992979
138,Stop 138,2,53,12.1485487,-86.1999905
139,Stop 139,2,53,12.1485874,-86.2035718
140,Stop 140,2,53,12.1489305,-86.2084454
141,Stop 141,2,53,12.1492972,-86.2115917
142,Stop 142,2,53,12.149557,-86.2176573
143,Stop 143,2,53,12.1471143,-86.2179112
144,Stop 144,2,53,12.1451565,-86.2184214
145,Stop 145,2,53,12.1421639,-86.2187709
146,Stop 146,2,53,12.1414221,-86.2176447
147,Stop 147,2,53,12.1376818,-86.2166559
148,Stop 148,2,53,12.1382629,-86.2190948
149,Stop 149,2,53,12.1385024,-86.2219929
150,Stop 150,2,53,12.1384094,-86.2239746
151,Stop 151,2,53,12.1383588,-86.2270693
152,Stop 152,2,53,12.1384584,-86.2292108
153,Stop 153,2,53,12.1391109,-86.2307829
154,Stop 154,2,53,12.1389148,-86.2324411
155,Stop 155,2,53,12.1370562,-86.2338998
156,Stop 156,2,53,12.1375172,-86.2378776
157,Stop 157,2,53,12.1373426,-86.2409498
158,Stop 158,2,53,12.1365415,-86.2429205
159,Stop 159,2,53,12.1371039,-86.2444652
160,Stop 160,2,53,12.1387203,-86.246332
161,Stop 161,2,53,12.1401682,-86.246848
162,Stop 162,2,53,12.1405415,-86.2488668
163,Stop 163,2,53,12.1406848,-86.251173
164,Stop 164,2,53,12.1435307,-86.2509417
165,Stop 165,2,53,12.1488611,-86.2490939
166,Stop 166,2,53,12.150837,-86.2494014
167,Stop 167,2,53,12.1525363,-86.2583882
168,Stop 168,2,53,12.1541678,-86.2640651
169,Stop 169,2,53,12.1542333,-86.2656516
170,Stop 170,2,53,12.1545552,-86.2689065
171,Stop 171,2,53,12.1547708,-86.2712543
172,Stop 172,2,53,12.1565664,-86.2743874
173,Stop 173,2,53,12.1593011,-86.2780464
174,Stop 174,2,53,12.1593442,-86.2791727
175,Stop 175,2,53,12.1594358,-86.2821011
176,Stop 176,2,53,12.1596319,-86.2847384
177,Stop 177,2,53,12.1598277,-86.2875033
178,Stop 178,2,53,12.1598993,-86.2906708
179,Stop 179,2,53,12.1598383,-86.2925795
180,Stop 180,2,53,12.1585356,-86.2931079
181,Stop 181,2,53,12.1578716,-86.2997557
182,Stop 182,2,53,12.1549249,-86.2998576
183,Stop 183,2,53,12.1518117,-86.3000576
184,Stop 184,2,53,12.1493276,-86.2985728
185,Stop 185,2,53,12.1475424,-86.2975077
186,Stop 186,2,53,12.1450135,-86.2994838
187,Stop 187,2,53,12.1402989,-86.2997016
188,Stop 188,2,53,12.1390167,-86.3000836
189,Stop 189,2,53,12.1386592,-86.3019102
190,Stop 190,2,53,12.1382211,-86.3045258
191,Stop 191,2,53,12.1321234,-86.3101534
192,Stop 192,2,53,12.1282116,-86.3116594
193,Stop 193,2,53,12.1230413,-86.3082028
194,Stop 194,2,53,12.1237052,-86.3060698
195,Stop 195,2,53,12.1241442,-86.3043903
196,Stop 196,2,53,12.1252619,-86.298904
197,Stop 197,2,53,12.1252992,-86.2971674
198,Stop 198,2,53,12.1231279,-86.296961
199,Stop 199,2,53,12.1231279,-86.296961
200,Stop 200,2,53,12.1253297,-86.2955552
201,Stop 201,2,53,12.1258307,-86.2964158
202,Stop 202,2,53,12.1253996,-86.2998255
203,Stop 203,2,53,12.1244582,-86.3045169
204,Stop 204,2,53,12.1233079,-86.3079483
205,Stop 205,2,53,12.1266496,-86.311842
206,Stop 206,2,53,12.1380657,-86.3044868
207,Stop 207,2,53,12.138494,-86.3018705
208,Stop 208,2,53,12.1395009,-86.2995133
209,Stop 209,2,53,12.140289,-86.2995763
210,Stop 210,2,53,12.1450075,-86.2993525
211,Stop 211,2,53,12.146231,-86.2974503
212,Stop 212,2,53,12.1502664,-86.2974894
213,Stop 213,2,53,12.1517579,-86.2999544
214,Stop 214,2,53,12.1548977,-86.2997463
215,Stop 215,2,53,12.1555342,-86.2997137
216,Stop 216,2,53,12.1578704,-86.2996053
217,Stop 217,2,53,12.157764,-86.2956546
218,Stop 218,2,53,12.158525,-86.2930181
219,Stop 219,2,53,12.1590576,-86.2929614
220,Stop 220,2,53,12.1597082,-86.292575
221,Stop 221,2,53,12.1597794,-86.2906782
222,Stop 222,2,53,12.1596882,-86.2874516
223,Stop 223,2,53,12.1594927,-86.2847714
224,Stop 224,2,53,12.1593326,-86.2821066
225,Stop 225,2,53,12.1592256,-86.2791756
226,Stop 226,2,53,12.1592072,-86.2780385
227,Stop 227,2,53,12.1585097,-86.2765634
228,Stop 228,2,53,12.1564953,-86.2743941
229,Stop 229,2,53,12.1539601,-86.2729059
230,Stop 230,2,53,12.153706,-86.2669416
231,Stop 231,2,53,12.1536101,-86.263265
232,Stop 232,2,53,12.1526149,-86.2587582
233,Stop 233,2,53,12.1524528,-86.2585299
234,Stop 234,2,53,12.1522873,-86.2549833
