Id,Latitude,Longitude,RouteId
1,12.156879,-86.1988633,1
2,12.1559195,-86.1989501,1
3,12.1556001,-86.1989783,1
4,12.1550779,-86.1990472,1
5,12.1547938,-86.1990783,1
6,12.1545022,-86.1990996,1
7,12.1544575,-86.1991029,1
8,12.1543771,-86.1991087,1
9,12.1536145,-86.1991713,1
10,12.1533675,-86.199197,1
11,12.1530715,-86.1992157,1
12,12.1529994,-86.1992185,1
13,12.1529396,-86.1992238,1
14,12.1523653,-86.1992723,1
15,12.1518562,-86.1993235,1
16,12.1513291,-86.1993686,1
17,12.1505626,-86.1994847,1
18,12.1500033,-86.1995368,1
19,12.1490922,-86.1996007,1
20,12.1489807,-86.1996052,1
21,12.1484471,-86.1996376,1
22,12.1484698,-86.1998766,1
23,12.1485173,-86.2005397,1
24,12.1485641,-86.2010044,1
25,12.1486714,-86.2022355,1
26,12.148567,-86.2022451,1
27,12.1484206,-86.2022582,1
28,12.1484479,-86.202642,1
29,12.1485101,-86.2033787,1
30,12.1485195,-86.2034764,1
31,12.1485292,-86.2035772,1
32,12.1486108,-86.2044271,1
33,12.148703,-86.2053872,1
34,12.1487407,-86.2058156,1
35,12.1487786,-86.2062455,1
36,12.1488876,-86.2074128,1
37,12.1489128,-86.2081853,1
38,12.1488671,-86.2084931,1
39,12.1488578,-86.208556,1
40,12.1488508,-86.2085903,1
41,12.1488037,-86.2088204,1
42,12.148787,-86.2090006,1
43,12.1487786,-86.2091294,1
44,12.1487919,-86.2093883,1
45,12.1487964,-86.2094648,1
46,12.1488252,-86.209712,1
47,12.1488277,-86.2097322,1
48,12.1488373,-86.2097817,1
49,12.1490471,-86.21064,1
50,12.1492357,-86.211554,1
51,12.149241,-86.2116005,1
52,12.1493299,-86.2123765,1
53,12.1493619,-86.212713,1
54,12.1493921,-86.2130185,1
55,12.1495044,-86.2140812,1
56,12.149517,-86.2143479,1
57,12.1495424,-86.2146874,1
58,12.1495516,-86.2148268,1
59,12.1495868,-86.2151664,1
60,12.1496783,-86.2161162,1
61,12.1497435,-86.2167597,1
62,12.1498158,-86.2174604,1
63,12.149824,-86.2175594,1
64,12.1497318,-86.2175727,1
65,12.149665,-86.2175825,1
66,12.1495618,-86.2175948,1
67,12.1494005,-86.2176196,1
68,12.1488648,-86.2177103,1
69,12.1487262,-86.2177247,1
70,12.1485836,-86.2177345,1
71,12.1484768,-86.217744,1
72,12.1483348,-86.2177043,1
73,12.1478619,-86.2177118,1
74,12.1475767,-86.2177461,1
75,12.1474954,-86.217759,1
76,12.1473667,-86.2177793,1
77,12.1471888,-86.2178078,1
78,12.1471093,-86.2178178,1
79,12.1470757,-86.2178233,1
80,12.1469753,-86.2178325,1
81,12.1467375,-86.2178568,1
82,12.1463411,-86.2179004,1
83,12.1461009,-86.2179641,1
84,12.145821,-86.2180771,1
85,12.1452968,-86.2182967,1
86,12.14523,-86.2183258,1
87,12.1451381,-86.2183658,1
88,12.145063,-86.2183985,1
89,12.1448556,-86.2184863,1
90,12.1447518,-86.2185325,1
91,12.144665,-86.2185645,1
92,12.1445855,-86.2185915,1
93,12.1445309,-86.2186085,1
94,12.1444189,-86.2186456,1
95,12.1443254,-86.2186614,1
96,12.1442444,-86.2186359,1
97,12.1441858,-86.2186191,1
98,12.1441577,-86.218624,1
99,12.1440786,-86.2186379,1
100,12.1435852,-86.2187493,1
101,12.1433924,-86.2187854,1
102,12.1431125,-86.2187967,1
103,12.1428884,-86.2187681,1
104,12.1426132,-86.2187622,1
105,12.1424693,-86.2187602,1
106,12.1422238,-86.2187566,1
107,12.1421604,-86.2187583,1
108,12.1420241,-86.2187618,1
109,12.141927,-86.2187612,1
110,12.1418321,-86.2187604,1
111,12.1418295,-86.2186705,1
112,12.1418196,-86.218609,1
113,12.1417746,-86.2184102,1
114,12.1417306,-86.2182375,1
115,12.1415994,-86.2179585,1
116,12.141455,-86.2176257,1
117,12.1414306,-86.2175695,1
118,12.1413465,-86.2173745,1
119,12.1412295,-86.2171386,1
120,12.1411362,-86.2169187,1
121,12.1407694,-86.2160662,1
122,12.1405393,-86.2154899,1
123,12.140441,-86.2155071,1
124,12.1396828,-86.2156398,1
125,12.1390272,-86.2157551,1
126,12.1387927,-86.2158476,1
127,12.138734,-86.2158708,1
128,12.1385283,-86.2159904,1
129,12.1380004,-86.2163692,1
130,12.1376514,-86.216597,1
131,12.1372451,-86.2168526,1
132,12.1372043,-86.2168986,1
133,12.1371793,-86.2169358,1
134,12.1371688,-86.2169779,1
135,12.1371616,-86.2170099,1
136,12.1371578,-86.2170439,1
137,12.1371534,-86.2170825,1
138,12.1371506,-86.2171285,1
139,12.1371567,-86.2171679,1
140,12.1372142,-86.2173485,1
141,12.1372731,-86.2174389,1
142,12.1374794,-86.2177848,1
143,12.1379287,-86.2185281,1
144,12.1380636,-86.2187551,1
145,12.1381865,-86.2190264,1
146,12.1382087,-86.2191068,1
147,12.1382354,-86.2192026,1
148,12.1382504,-86.2192964,1
149,12.1382927,-86.2197097,1
150,12.1382979,-86.2197511,1
151,12.1383556,-86.2204831,1
152,12.1383907,-86.2206324,1
153,12.1384331,-86.2210797,1
154,12.1384413,-86.2213174,1
155,12.1384602,-86.2218124,1
156,12.1384613,-86.2218411,1
157,12.1384672,-86.2219946,1
158,12.1385018,-86.2229007,1
159,12.1384945,-86.2234271,1
160,12.1383897,-86.2238784,1
161,12.138365,-86.2239599,1
162,12.1383341,-86.2240622,1
163,12.1382969,-86.2241853,1
164,12.1382701,-86.2242737,1
165,12.1382659,-86.2245335,1
166,12.138259,-86.2249644,1
167,12.1382571,-86.2250797,1
168,12.1382871,-86.2266278,1
169,12.138303,-86.2269124,1
170,12.138316,-86.2270755,1
171,12.138332,-86.2272364,1
172,12.1383379,-86.2273024,1
173,12.1383436,-86.2273311,1
174,12.1383984,-86.2275903,1
175,12.1384048,-86.2276092,1
